Año,TipoAtencion,total_atenciones
2009,CONSULTAS,45458930.0
2009,HOSPITALIZACIONES,743772.0
2009,PROCEDIMIENTOS DE SALUD,55847224.0
2009,URGENCIAS,1597996.0
2010,CONSULTAS,44660894.0
2010,HOSPITALIZACIONES,674324.0
2010,PROCEDIMIENTOS DE SALUD,69834496.0
2010,URGENCIAS,2070285.0
2011,CONSULTAS,59344164.0
2011,HOSPITALIZACIONES,1238212.0
2011,PROCEDIMIENTOS DE SALUD,84117279.0
2011,URGENCIAS,2347673.0
2012,CONSULTAS,71841475.0
2012,HOSPITALIZACIONES,1221186.0
2012,PROCEDIMIENTOS DE SALUD,100978556.0
2012,URGENCIAS,3653526.0
2013,CONSULTAS,60697387.0
2013,HOSPITALIZACIONES,1061236.0
2013,PROCEDIMIENTOS DE SALUD,79764537.0
2013,URGENCIAS,4085385.0
2014,CONSULTAS,83242436.0
2014,HOSPITALIZACIONES,1683721.0
2014,PROCEDIMIENTOS DE SALUD,118688481.0
2014,URGENCIAS,4926260.0
2015,CONSULTAS,70742307.0
2015,HOSPITALIZACIONES,1362253.0
2015,PROCEDIMIENTOS DE SALUD,118629881.0
2015,URGENCIAS,4169804.0
2016,CONSULTAS,48138131.0
2016,HOSPITALIZACIONES,760086.0
2016,PROCEDIMIENTOS DE SALUD,82255090.0
2016,URGENCIAS,2834320.0
2017,CONSULTAS,70787639.0
2017,HOSPITALIZACIONES,1118536.0
2017,PROCEDIMIENTOS DE SALUD,135665638.0
2017,URGENCIAS,3643556.0
2018,CONSULTAS,97777900.0
2018,HOSPITALIZACIONES,1431281.0
2018,PROCEDIMIENTOS DE SALUD,198879091.0
2018,URGENCIAS,3502459.0
2019,CONSULTAS,120620548.0
2019,HOSPITALIZACIONES,2299305.0
2019,PROCEDIMIENTOS DE SALUD,182422090.0
2019,URGENCIAS,4649349.0
2020,CONSULTAS,90332031.0
2020,HOSPITALIZACIONES,2465617.0
2020,PROCEDIMIENTOS DE SALUD,148248056.0
2020,URGENCIAS,3706272.0
2021,CONSULTAS,87583641.0
2021,HOSPITALIZACIONES,1455748.0
2021,PROCEDIMIENTOS DE SALUD,141918190.0
2021,URGENCIAS,2750931.0
